#NOTES: 
#All Castle doors and gates are found in the castledoor.sql
#All thrones and signs are found in the staticobject.csv
#To make a door unlockable through the unlock skill, add true to the end of the string
#Table Description:
#name;static_object_id;posx;posy;posz;pos_minx;pos_miny;pos_minz;pos_maxx;pos_maxy;pos_maxz;hp;physical_defence;magic_defence;unlockable

# Aden - Clan Halls
Clan_Hall_Door;24180022;145358;25385;-2090;145356;25343;-2142;145360;25385;-1692;158250;644;518;0;False
Clan_Hall_Door;24180023;145358;25304;-2090;145356;25304;-2142;145360;25345;-1692;158250;644;518;0;False
Clan_Hall_Door;24180024;149438;23177;-2100;149437;23135;-2152;149439;23176;-1702;158250;644;518;0;False
Clan_Hall_Door;24180025;149438;23095;-2100;149437;23095;-2152;149439;23136;-1702;158250;644;518;0;False
Clan_Hall_Door;24180026;150299;23695;-2090;150297;23653;-2141;150301;23695;-1691;158250;644;518;0;False
Clan_Hall_Door;24180027;150299;23614;-2090;150297;23614;-2141;150301;23656;-1691;158250;644;518;0;False
Clan_Hall_Door;24180028;150444;26584;-2226;150443;26542;-2278;150446;26583;-1828;158250;644;518;0;False
Clan_Hall_Door;24180029;150444;26502;-2226;150443;26502;-2278;150445;26543;-1828;158250;644;518;0;False
Clan_Hall_Door;24180030;144359;28239;-2218;144357;28197;-2270;144359;28238;-1820;158250;644;518;0;False
Clan_Hall_Door;24180031;144359;28158;-2218;144357;28157;-2270;144359;28198;-1820;158250;644;518;0;False
Clan_Hall_Door;24180032;144294;27131;-2228;144293;27089;-2280;144295;27130;-1830;158250;644;518;0;False
Clan_Hall_Door;24180033;144294;27049;-2228;144293;27049;-2280;144295;27090;-1830;158250;644;518;0;False

# Aden - Coliseum Gates
West_Gate;24190001;147086;46721;-3289;147075;46641;-3434;147099;46800;-3178;687500;644;518;0;False
West_Gate;24190002;148045;46721;-3289;148034;46642;-3435;148057;46800;-3179;687500;644;518;0;False
East_Gate;24190003;150951;46721;-3289;150939;46640;-3435;150961;46797;-3179;687500;644;518;0;False
East_Gate;24190004;151911;46721;-3289;151903;46644;-3435;151918;46798;-3179;687500;644;518;0;False

# Bandits Stronghold
Iron_Gate;22170001;85621;-18127;-1670;85411;-18299;-1821;85633;-18118;-1471;158250;644;518;0;False
Iron_Gate;22170002;85213;-18458;-1670;85206;-18466;-1821;85425;-18288;-1471;158250;644;518;0;False
Gate;22170003;80818;-15357;-1762;80815;-15445;-1829;80821;-15349;-1379;158250;644;518;0;False
Gate;22170004;80818;-15518;-1762;80815;-15525;-1829;80820;-15431;-1379;158250;644;518;0;False

# Cruma Tower - Core Room Doors
System_Control_Room;20210001;17624;112427;-6456;17506;112402;-6625;17741;112452;-6287;150000;476;383;0;True
System_Control_Room;20210002;17820;112427;-6456;17705;112402;-6627;17938;112452;-6289;150000;476;383;0;True
System_Control_Room;20210003;17721;112427;-6579;17623;112396;-6628;17819;112459;-6530;150000;476;383;0;True

# Dion - Clan Halls
Clan_Hall_Door;20220011;18879;143353;-2998;18874;143315;-3039;18880;143353;-2589;158250;644;518;0;False
Clan_Hall_Door;20220012;18872;143278;-2998;18871;143278;-3039;18877;143316;-2589;158250;644;518;0;False
Clan_Hall_Door;20220013;17616;145185;-3025;17616;145183;-3066;17648;145206;-2616;158250;644;518;0;False
Clan_Hall_Door;20220014;17679;145226;-3025;17646;145204;-3066;17679;145227;-2616;158250;644;518;0;False
Clan_Hall_Door;20220015;20118;145995;-3099;20118;145992;-3140;20155;145996;-2690;158250;644;518;0;False
Clan_Hall_Door;20220016;20193;145995;-3099;20156;145993;-3140;20193;145995;-2690;158250;644;518;0;False

# Devastated Castle
Outer_Castle_Gate;25170001;178212;-15038;-2135;178211;-15038;-2294;178342;-15017;-1976;158250;644;518;0;False
Outer_Castle_Gate;25170002;178468;-15038;-2135;178339;-15038;-2295;178469;-15017;-1977;158250;644;518;0;False
Gate;25170003;178119;-18220;-2210;178120;-18225;-2286;178183;-18211;-1836;79125;644;518;0;False
Gate;25170004;178247;-18220;-2210;178182;-18225;-2286;178245;-18211;-1836;79125;644;518;0;False
Gate;25170005;178298;-18573;-2233;178302;-18611;-2287;178309;-18573;-1837;79125;644;518;0;False
Gate;25170006;178298;-18650;-2233;178302;-18648;-2287;178309;-18610;-1837;79125;644;518;0;False

# Devils Isle
Gate;21240001;42001;208378;-3666;41864;208287;-3785;42006;208383;-3540;187500;100000;10000;0;True
Gate;21240002;43745;212594;-3623;43741;212433;-3742;43749;212600;-3497;187500;100000;10000;0;True
Gate;21240003;42167;213285;-3643;42085;213285;-3760;42247;213286;-3515;187500;476;383;0;True
Gate;21240004;51111;206106;-3912;51105;206102;-4031;51270;206110;-3786;187500;476;383;0;True
Gate;21240005;52910;206720;-3692;52910;206637;-3808;52910;206801;-3563;187500;476;383;0;True
Great_Pirates_Secret_Room;21240006;52423;219103;-3209;52423;219032;-3312;52423;219174;-3067;187500;1000000;383;0;False

# Garden of Eva - Water Walls and Secret Walls
goe_Water_Wall;22250001;86226;247063;-8584;86085;246961;-8845;86364;247162;-8333;187500;476;383;0;False
goe_Water_Wall;22250002;88491;253871;-8584;88436;253707;-8845;88546;254031;-8333;187500;476;383;0;False
goe_Water_Wall;22250003;76873;253954;-8584;76816;253788;-8856;76928;254118;-8344;187500;476;383;0;False
goe_Water_Wall;22250004;79033;247128;-8584;78897;247031;-8838;79164;247228;-8326;187500;476;383;0;False
goe_Water_Wall;22250005;82738;246603;-9093;82574;246603;-9359;82901;246603;-8847;187500;476;383;0;False
goe_Water_Wall;22250006;87902;250378;-9093;87845;250218;-9361;87963;250540;-8849;187500;476;383;0;False
goe_Water_Wall;22250007;85914;256377;-9093;85778;256278;-9352;86047;256477;-8840;187500;476;383;0;False
goe_Water_Wall;22250008;79561;256348;-9093;79427;256253;-9348;79699;256447;-8836;187500;476;383;0;False
goe_Water_Wall;22250009;77616;250361;-9093;77560;250195;-9360;77671;250525;-8848;187500;476;383;0;False
goe_Water_Wall;22250010;80102;248387;-9611;79968;248290;-9883;80233;248485;-9371;187500;476;383;0;False
goe_Water_Wall;22250011;85343;248344;-9611;85204;248243;-9869;85481;248443;-9357;187500;476;383;0;False
goe_Water_Wall;22250012;87018;253389;-9611;86965;253223;-9875;87076;253544;-9363;187500;476;383;0;False
goe_Water_Wall;22250013;82768;256485;-9611;82603;256484;-9873;82932;256486;-9361;187500;476;383;0;False
goe_Water_Wall;22250014;78490;253391;-9611;78435;253230;-9884;78548;253551;-9372;187500;476;383;0;False
goe_Water_Wall;22250015;79253;253097;-10118;79196;252936;-10386;79308;253256;-9874;187500;476;383;0;False
goe_Water_Wall;22250016;79276;250856;-10118;79220;250697;-10386;79328;251017;-9874;187500;476;383;0;False
goe_Water_Wall;22250017;80601;249046;-10118;80464;248949;-10370;80735;249143;-9858;187500;476;383;0;False
goe_Water_Wall;22250018;82836;248341;-10118;82672;248340;-10391;82999;248341;-9879;187500;476;383;0;False
goe_Water_Wall;22250019;84906;249034;-10116;84761;248927;-10379;85050;249141;-9867;187500;476;383;0;False
goe_Water_Wall;22250020;86247;250888;-10118;86186;250724;-10368;86307;251048;-9856;187500;476;383;0;False
goe_Water_Wall;22250021;86213;253197;-10118;86157;253034;-10380;86268;253360;-9868;187500;476;383;0;False
goe_Water_Wall;22250022;84889;254973;-10118;84750;254873;-10376;85027;255073;-9864;187500;476;383;0;False
goe_Water_Wall;22250023;82726;255659;-10118;82560;255658;-10387;82892;255660;-9875;187500;476;383;0;False
goe_Water_Wall;22250024;80590;254950;-10118;80454;254851;-10372;80727;255050;-9860;187500;476;383;0;False
goe_Secret_Wall;22250025;81959;255493;-10734;81657;255478;-10888;82264;255508;-10376;187500;476;383;0;True
goe_Secret_Wall;22250026;83496;255494;-10734;83194;255479;-10891;83795;255511;-10379;187500;476;383;0;True
goe_Secret_Wall;22250027;83549;248505;-10734;83247;248490;-10886;83848;248523;-10374;187500;476;383;0;True
goe_Secret_Wall;22250028;82012;248506;-10734;81713;248490;-10888;82312;248521;-10376;187500;476;383;0;True
goe_Secret_Wall;22250029;82560;254715;-10880;82395;254712;-11183;82727;254719;-10577;187500;476;383;0;True

# Gludin - Clan Halls

Clan_Hall_Door;17220001;-84495;155209;-3150;-84497;155208;-3192;-84494;155246;-2742;158250;644;518;0;False;False
